"row","continent","location","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","hospital_beds_per_thousand","life_expectancy","human_development_index","total_cases","new_cases","total_deaths","positive_rate","stringency_index","reproduction_rate","Tot_dead_pop","incidence"
"28","South America","Brazil","212559409","25.04","33.5","8.552","5.06","14103.452","3.4","177.961","8.11","10.1","17.9","2.2","75.88","0.765","4879097.131","33350.1074","133051.984","0.169066692","67.70629085","1.163551191","2.797234282","2295.403979"
"40","South America","Chile","19116209","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","2.11","80.18","0.851","434140.2441","2680.900474","10974.47885","0.110148066","74.80326166","1.122989664","2.759737966","2271.058263"
"42","South America","Colombia","50882884","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","1.71","77.29","0.767","963429.8073","6505.209756","26468.36991","0.198426057","76.71960349","1.13102175","2.716989564","1893.426102"
"57","South America","Ecuador","17643060","66.939","28.1","7.104","4.458","10581.936","3.6","140.448","5.55","2","12.3","1.5","77.01","0.759","141882.8651","868.826506","9088.515667","0.238831496","68.74668781","1.109560485","2.712761305","804.1851306"
"68","South America","Falkland Islands","3483","56.6072133","33.4232261","11.57183282","7.688433147","24322.52676","1.145628885","183.5273796","8.725222706","12.02802356","23.42842358","2.411017149","81.44","0.81191681","133.4","5.7","5.9","0.0305","94.164","0.79","3.229154843","3830.031582"
"85","South America","Guyana","786559","3.952","26.3","5.305","2.837","7435.047","5.796666071","373.159","11.62","6.809754917","26.0736246","1.6","69.91","0.682","3692.143564","29.45792079","94.59653465","0.13507272","70.27484758","1.056236839","2.083740099","469.4045283"
"156","South America","Paraguay","7132530","17.144","26.5","6.378","3.833","8827.01","1.7","199.128","8.27","5","21.6","1.3","74.25","0.728","64069.33374","617.2457213","1303.266945","0.180998711","70.53432763","1.144244523","2.264160103","898.2693902"
"157","South America","Peru","32971846","25.129","29.1","7.151","4.455","12236.706","3.5","85.755","5.95","4.8","23.06667793","1.6","76.74","0.777","611607.4073","3635.342264","22638.1001","0.161760752","70.21897197","1.167126928","2.837328792","1854.938323"
"189","South America","Suriname","586634","3.612","29.6","6.933","4.229","13767.119","2.666751548","258.314","12.54","7.4","42.9","3.1","71.68","0.738","4202.348259","23.83333333","84.032582","0.039212556","70.99696209","1.011682539","2.159101767","716.34925"
"209","South America","Uruguay","3473727","19.751","35.6","14.655","10.361","20551.409","0.1","160.708","6.93","14","19.9","2.8","77.91","0.817","20155.34988","414.4739454","218.1283086","0.046356358","55.62635236","1.109099543","1.804778061","580.222622"
"213","South America","Venezuela","28435943","36.253","29","6.614","3.915","16745.022","15.01514221","204.85","6.47","3.467415876","36.59264251","0.8","72.06","0.711","68735.51244","459.1915423","635.1025867","0.03368226","84.78413408","1.091560201","1.367998511","241.7205311"
